"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 09 10:31:37 IST 2021","Tue Mar 09 10:31:59 IST 2021","22004","Nordson OMU Web App Regression Tests on Chrome","Nordson OMU Web App Regression Tests on Chrome","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","PressureValues_Kpa_Min_0_Max_0","PressureValues_Kpa_Min_0_Max_0",""
"passed","Tue Mar 09 10:32:43 IST 2021","Tue Mar 09 10:33:05 IST 2021","21930","Nordson OMU Web App Regression Tests on Chrome","Nordson OMU Web App Regression Tests on Chrome","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","PressureValues_Kpa_Min_0_Max_0","PressureValues_Kpa_Min_0_Max_0",""
"passed","Tue Mar 09 10:30:45 IST 2021","Tue Mar 09 10:30:52 IST 2021","6989","Nordson OMU Web App Regression Tests on Chrome","Nordson OMU Web App Regression Tests on Chrome","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","loginDDT","loginDDT",""
"passed","Tue Mar 09 10:36:19 IST 2021","Tue Mar 09 10:36:40 IST 2021","21896","Nordson OMU Web App Regression Tests on Chrome","Nordson OMU Web App Regression Tests on Chrome","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","PressureValues_BAR_Same_Min_Max","PressureValues_BAR_Same_Min_Max",""
"passed","Tue Mar 09 10:33:05 IST 2021","Tue Mar 09 10:33:27 IST 2021","21994","Nordson OMU Web App Regression Tests on Chrome","Nordson OMU Web App Regression Tests on Chrome","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","PressureValues_Kpa_Min_0_Max_0","PressureValues_Kpa_Min_0_Max_0",""
"passed","Tue Mar 09 10:35:35 IST 2021","Tue Mar 09 10:35:57 IST 2021","21760","Nordson OMU Web App Regression Tests on Chrome","Nordson OMU Web App Regression Tests on Chrome","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","PressureValues_BAR_Same_Min_Max","PressureValues_BAR_Same_Min_Max",""
"passed","Tue Mar 09 10:35:57 IST 2021","Tue Mar 09 10:36:19 IST 2021","21809","Nordson OMU Web App Regression Tests on Chrome","Nordson OMU Web App Regression Tests on Chrome","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","PressureValues_BAR_Same_Min_Max","PressureValues_BAR_Same_Min_Max",""
"unknown","Mon Mar 08 21:45:51 IST 2021","Mon Mar 08 21:45:51 IST 2021","0","Nordson OMU Web App Regression Tests on Chrome","Nordson OMU Web App Regression Tests on Chrome","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","PressureValues_Kpa_Min_0_Max_690","PressureValues_Kpa_Min_0_Max_690",""
"passed","Tue Mar 09 10:27:00 IST 2021","Tue Mar 09 10:27:38 IST 2021","38091","Nordson OMU Web App Regression Tests on Chrome","Nordson OMU Web App Regression Tests on Chrome","com.nordson.testCases.TC_Pressure_Validations_Kpa_Bar_Psi_Default_Values","com.nordson.testCases.TC_Pressure_Validations_Kpa_Bar_Psi_Default_Values","Pressure_Validation_Kpa_default_values","Pressure_Validation_Kpa_default_values","Verify the Default Values for Kpa Pressure Unit"
"passed","Tue Mar 09 10:37:25 IST 2021","Tue Mar 09 10:37:31 IST 2021","6567","Nordson OMU Web App Regression Tests on Chrome","Nordson OMU Web App Regression Tests on Chrome","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","com.nordson.testCases.TC_Pressure_Min_Max_Data_Validations","PressureValuesMin_0_Max_690","PressureValuesMin_0_Max_690",""
